"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013"
"00000","United States","","CA1","1","...","Personal income (thousands of dollars)",791150000,855078000,923964000,1015526000,1131213000,1242433000,1359998000,1491143000,1646608000,1851615000,2068559000,2306348000,2583725000,2767024000,2957347000,3268031000,3501453000,3711654000,3940330000,4259752000,4602330000,4888493000,5053490000,5399838000,5637558000,5927748000,6271253000,6656570000,7069464000,7582710000,7983593000,8630550000,8983398000,9146428000,9479763000,10043231000,10605595000,11376405000,11990104000,12429234000,12080223000,12417659000,13189935000,13873161000,14151427000
"00000","United States","","CA1","2","...","Population (persons) 1/",201298000,203798722,206817509,209274882,211349205,213333635,215456585,217553859,219760875,222098244,224568579,227224719,229465744,231664432,233792014,235824907,237923734,240132831,242288936,244499004,246819222,249622814,252980941,256514224,259918588,263125821,266278393,269394284,272646925,275854104,279040168,282162411,284968955,287625193,290107933,292805298,295516599,298379912,301231207,304093966,306771529,309326295,311582564,313873685,316128839
"00000","United States","","CA1","3","...","Per capita personal income (dollars) 2/",3930,4196,4468,4853,5352,5824,6312,6854,7493,8337,9211,10150,11260,11944,12649,13858,14717,15457,16263,17422,18647,19584,19976,21051,21690,22528,23551,24709,25929,27488,28611,30587,31524,31800,32677,34300,35888,38127,39804,40873,39379,40144,42332,44200,44765
"00998","United States (Metropolitan Portion)","","CA1","1","...","Personal income (thousands of dollars)",682558593,737351755,795766329,872469392,963974511,1061800740,1161050854,1274345194,1408197661,1582708386,1768663722,1980173859,2216068609,2377218709,2548598373,2816913460,3029477233,3222234743,3430527470,3721155941,4019475917,4274973405,4415802321,4714374878,4921650513,5169953420,5481745809,5816582997,6185986934,6652289887,7018971801,7609147701,7917728132,8066432034,8350923706,8848680572,9361836683,10069664121,10604005201,10961538863,10635184453,10932066372,11606317802,12220164599,12463711455
"00998","United States (Metropolitan Portion)","","CA1","2","...","Population (persons) 1/",164787612,167146143,169569783,171512609,173242264,174924831,176483725,178140451,179883035,181849203,183929604,186222372,188212013,190178436,192153779,194142697,196318400,198674534,200944313,203173862,205476866,208182131,211194337,214331687,217300066,220090505,222798951,225557194,228503559,231456359,234421194,237360850,240128266,242665792,244993933,247510633,250039935,252641624,255300617,257996520,260573371,263025749,265289617,267628293,269911242
"00998","United States (Metropolitan Portion)","","CA1","3","...","Per capita personal income (dollars) 2/",4142,4411,4693,5087,5564,6070,6579,7154,7828,8703,9616,10633,11774,12500,13263,14509,15431,16219,17072,18315,19562,20535,20909,21996,22649,23490,24604,25788,27072,28741,29942,32057,32973,33241,34086,35751,37441,39858,41535,42487,40815,41563,43750,45661,46177
"00999","United States (Nonmetropolitan Portion)","","CA1","1","...","Personal income (thousands of dollars)",108591407,117726245,128197671,143056608,167238489,180632260,198947146,216797806,238410339,268906614,299895278,326174141,367656391,389805291,408748627,451117540,471975767,489419257,509802530,538596059,582854083,613519595,637687679,685463122,715907487,757794580,789507191,839987003,883477066,930420113,964621199,1021402299,1065669868,1079995966,1128839294,1194550428,1243758317,1306740879,1386098799,1467695137,1445038547,1485592628,1583617198,1652996401,1687715545
"00999","United States (Nonmetropolitan Portion)","","CA1","2","...","Population (persons) 1/",36510388,36652579,37247726,37762273,38106941,38408804,38972860,39413408,39877840,40249041,40638975,41002347,41253731,41485996,41638235,41682210,41605334,41458297,41344623,41325142,41342356,41440683,41786604,42182537,42618522,43035316,43479442,43837090,44143366,44397745,44618974,44801561,44840689,44959401,45114000,45294665,45476664,45738288,45930590,46097446,46198158,46300546,46292947,46245392,46217597
"00999","United States (Nonmetropolitan Portion)","","CA1","3","...","Per capita personal income (dollars) 2/",2974,3212,3442,3788,4389,4703,5105,5501,5979,6681,7379,7955,8912,9396,9817,10823,11344,11805,12331,13033,14098,14805,15261,16250,16798,17609,18158,19162,20014,20956,21619,22798,23766,24022,25022,26373,27349,28570,30178,31839,31279,32086,34209,35744,36517
"01000","Alabama","5","CA1","1","...","Personal income (thousands of dollars)",9726212,10605131,11670926,12964387,14582799,16175869,18038463,20219074,22272668,25190629,27985848,30846806,34247539,36181454,38757480,42636213,45929741,48611751,51473139,55363180,60280625,64030925,67609367,72797037,76150809,80624474,85261242,88949009,93684207,100128887,104075226,109650210,114135857,117165562,122138952,130774307,137980530,146351621,153163623,159075116,156826195,162201146,168107121,173149657,176340520
"01000","Alabama","5","CA1","2","...","Population (persons) 1/",3440000,3449846,3497452,3540080,3580769,3627805,3680533,3737204,3782736,3834120,3869444,3900368,3918533,3925263,3934100,3951824,3972520,3991569,4015262,4023842,4030219,4050055,4099156,4154014,4214202,4260229,4296800,4331102,4367935,4404701,4430141,4452173,4467634,4480089,4503491,4530729,4569805,4628981,4672840,4718206,4757938,4785570,4801627,4817528,4833722
"01000","Alabama","5","CA1","3","...","Per capita personal income (dollars) 2/",2827,3074,3337,3662,4073,4459,4901,5410,5888,6570,7233,7909,8740,9218,9852,10789,11562,12179,12819,13759,14957,15810,16493,17525,18070,18925,19843,20537,21448,22732,23493,24628,25547,26153,27121,28864,30194,31616,32777,33715,32961,33894,35010,35942,36481
